SciName,Family,Genus,Species,IchthyMaps.Record.Count,Outside.US.occurrences,NAS.occurrence,NASLink
Acantharchus pomotis,Centrarchidae,Acantharchus,pomotis,992,,No,
Acipenser brevirostrum,Acipenseridae,Acipenser,brevirostrum,147,Yes,No,
Acipenser medirostris,Acipenseridae,Acipenser,medirostris,3,,No,
Acrocheilus alutaceus,Leuciscidae,Acrocheilus,alutaceus,66,Yes,No,
Ameiurus serracanthus,Ictaluridae,Ameiurus,serracanthus,32,,No,
Amia calva,Amiidae,Amia,calva,1061,Yes,Yes,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=305
Ammocrypta beanii,Percidae,Ammocrypta,beanii,606,,No,
Ammocrypta meridiana,Percidae,Ammocrypta,meridiana,277,,No,
Anguilla rostrata,Anguillidae,Anguilla,rostrata,3241,Yes,No,
Apeltes quadracus,Gasterosteidae,Apeltes,quadracus,127,Yes,Yes,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=700
Aphredoderus sayanus,Aphredoderidae,Aphredoderus,sayanus,3529,,Yes,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=313
Astyanax mexicanus,Characidae,Astyanax,mexicanus,390,Yes,Yes,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=417
Atractosteus spatula,Lepisosteidae,Atractosteus,spatula,119,,Yes,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=755
Campostoma ornatum,Leuciscidae,Campostoma,ornatum,41,Yes,No,
Carpiodes carpio,Catostomidae,Carpiodes,carpio,2673,Yes,No,
Catostomus clarkii,Catostomidae,Catostomus,clarkii,31,Yes,No,
Catostomus fumeiventris,Catostomidae,Catostomus,fumeiventris,15,,Yes,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=347
Catostomus insignis,Catostomidae,Catostomus,insignis,378,Yes,No,
Catostomus macrocheilus,Catostomidae,Catostomus,macrocheilus,145,Yes,No,
Catostomus snyderi,Catostomidae,Catostomus,snyderi,13,,No,
Chasmistes brevirostris,Catostomidae,Chasmistes,brevirostris,6,,No,
Chologaster cornuta,Amblyopsidae,Chologaster,cornuta,413,,No,
Chrosomus erythrogaster,Leuciscidae,Chrosomus,erythrogaster,1854,Yes,No,
Cottus asper,Cottidae,Cottus,asper,65,Yes,No,
Cottus pitensis,Cottidae,Cottus,pitensis,37,,No,
Cottus princeps,Cottidae,Cottus,princeps,3,,No,
Cottus rhotheus,Cottidae,Cottus,rhotheus,150,Yes,No,
Crenichthys baileyi,Goodeidae,Crenichthys,baileyi,16,,Yes,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=719
Crenichthys nevadae,Goodeidae,Crenichthys,nevadae,3,,No,
Crystallaria asprella,Percidae,Crystallaria,asprella,152,,No,
