Scientific Name,Family,Genus,Species,CommonName,CS,1-CS,AOO,1-AOO,RCS,RCS.sd,# GBIF occurrence points post-filtering,# records from IcthyMaps,#HUC-8 from IcthyMaps,#HUC-8s from GBIF records,#HUC-12 from GBIF records,acceptedauthorityapi,scientificnames_submitted,statelist_2005,statelist_2015,Status,SCS Listing,InDistributionModelList,Species Conservation List,NAS occurrence,NASLink,AOO_1km_buffer,AOO_5km_buffer,AOO_10km_buffer,AOO_20km_buffer,EOO_MCP,AOO_HUC12,AOO_HUC8,Rank_1km_Buffer,Rank_5km_buffer,Rank_10km_buffer,Rank_20km_buffer,Rank_MCP,Rank_HUC12,Rank_HUC8,Mean Rank,SD Rank,Standardized mean rank (Z-score),CVRank,NatureServe_Range Size,NatureServe Rank,logBuffer1km,logBuffer5km,logBuffer100km,logBuffer20km,logHUC8,logHUC12,logMCP,logNatureServe,Justication if GBIF # records<50,Nomenclature changes,Other notes,SID,ALTSID,NOTES,FID,GID,ITISTSN,OTHERNAMES,NATIVE,MAXTL,MATUAGE,LONGEVITY,FECUNDITY,SERIAL,SEASON,A_1_1,A_1_2,A_1_3A,A_1_3B,A_1_3C,A_1_4,A_1_5,A_1_6,A_2_3A,A_2_3B,A_2_3C,A_2_4A,A_2_4C,B_1_3A,B_1_4,B_2_2,B_2_3A,B_2_3B,B_2_4,B_2_5,B_2_6,B_2_7A,B_2_7B,B_2_7C,C1_3_4_C24,LISTED,REASON,dietary breadth,niche breadth
Esox americanus,Esocidae,Esox,americanus,banded pygmy sunfish,0.421934037,0.578065963,0.961031662,0.038968338,0.30851715,0.064116603,3752,5096,441,330,1960,http://services.itis.gov/?q=tsn:162140,Esox americanus,"Connecticut,Iowa,Michigan,Vermont","Connecticut,Iowa,New Hampshire,Vermont",1,0,TRUE,,Yes,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=674,8822.447252,153985.0765,394418.0059,812905.53,3353888.873,198637.1114,1228594.74,127,127,127,128,125,128,128,127.1429,1.069045,1,0.840822,1964411.688,125,3.945589,5.187479,5.595957,5.91004,6.089409,5.29806,6.525549,6.293233,,,,Eamerica,Eamerica,174,Esocidae,Esox,162140,grass pickerel,1,37.6,2.5,7,4584,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
Aphredoderus sayanus,Aphredoderidae,Aphredoderus,sayanus,pirate perch,0.322766978,0.677233022,0.965623197,0.034376803,0.355804913,0.026953128,4671,3529,375,292,2107,http://services.itis.gov/?q=tsn:164405,"Aphredoderus sayanus,Aphroderus sayanus","Iowa,Michigan,Minnesota,New Jersey,Ohio","Iowa,Minnesota,New Jersey,Ohio",1,0,TRUE,,Yes,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=313,10258.11207,167495.6549,400727.8182,768320.3405,2602118.928,197207.4907,1069281.781,128,128,128,127,120,127,126,126.2857,2.870208,0.993205,2.272789,1373087.353,121,4.011067,5.224004,5.602849,5.885542,6.029092,5.294923,6.415327,6.137698,,,,Asayanus,Asayanus,35,Aphredod,Aphredod,164405,.,1,14,2,4,160,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,12
Pimephales vigilax,Cyprinidae,Pimephales,vigilax,bullhead minnow,0.371920581,0.628079419,0.879376123,0.120623877,0.374351648,0.055339442,5237,3436,463,263,1692,http://services.itis.gov/?q=tsn:163518,Pimephales vigilax,"Virginia,West Virginia","Virginia,West Virginia",1,0,FALSE,,No,,8092.142357,135698.3713,368347.0417,763369.2595,2075966.274,185391.6194,1077648,126,126,126,126,115,126,127,124.5714,4.237025,0.979615,3.401282,1568919.563,124,3.908064,5.132575,5.566257,5.882735,6.032477,5.26809,6.31722,6.195601,,,,Pvigilax,Pvigilax,717,Cyprinid,Pimephal,163518,.,1,7,1,5,700,1,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,15
Anguilla rostrata,Anguillidae,Anguilla,rostrata,American eel,0.524814791,0.475185209,0.620996214,0.379003786,0.427094497,0.144791419,1832,3241,464,216,975,http://services.itis.gov/?q=tsn:161127,"Anguilla rostrata,Anguilla Rostrata","Connecticut,District of Columbia,Florida,Illinois,Iowa,Kansas,Maine,Massachusetts,Minnesota,New Hampshire,New York,Ohio,Puerto Rico,Rhode Island,South Carolina,Texas,Vermont,Virginia,West Virginia,Wisconsin","Arkansas,Connecticut,Delaware,District of Columbia,Florida,Illinois,Iowa,Kansas,Louisiana,Maine,Massachusetts,Minnesota,Missouri,Nebraska,New Hampshire,New Jersey,New York,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin",1,0,TRUE,,No,,4393.736165,78189.91059,210224.4941,484107.7503,4518786.938,165707.1379,859595.7,122,123,123,123,127,125,123,123.7143,1.704336,0.97282,1.377639,2266270.89,127,3.642834,4.893151,5.322683,5.684942,5.934294,5.219341,6.655022,6.355312,,,,,,NA,,,NA,.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Esox niger,Esocidae,Esox,niger,muskellunge,0.5349629,0.4650371,0.588964898,0.411035102,0.438036101,0.096171602,1961,3447,328,240,1071,http://services.itis.gov/?q=tsn:162143,Esox niger,"Connecticut,Oklahoma",Connecticut,1,0,TRUE,,No,,4468.070979,85230.13056,245570.9659,565813.2392,2306868.614,118448.8541,877334.27,123,124,124,125,118,122,124,122.8571,2.340126,0.966025,1.904754,1301531.16,119,3.65012,4.930593,5.390177,5.752673,5.943165,5.073531,6.363023,6.114455,,,,Eniger,Eniger,248,Esocidae,Esox,162143,.,1,99,2,9,8000,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11
Etheostoma flabellare,Percidae,Etheostoma,flabellare,fantail darter,0.39773597,0.60226403,0.569734061,0.430265939,0.516264985,0.07441293,2027,6895,393,230,1029,http://services.itis.gov/?q=tsn:168394,Etheostoma flabellare,"Kansas,Michigan,Mississippi","Kansas,Mississippi",1,0,FALSE,,No,,4701.704462,85245.46317,247152.1858,564891.0985,2096111.474,102904.3009,846368.6007,124,125,125,124,117,120,121,122.2857,3.039424,0.961495,2.48551,1380461.109,122,3.672255,4.930671,5.392964,5.751965,5.92756,5.012434,6.321414,6.140024,,,,Eflabell,Eflabell,211,Percidae,Etheosto,168394,.,1,8.4,1,4,467,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,9
Lepisosteus osseus,Lepisosteidae,Lepisosteus,osseus,longnose gar,0.483614686,0.516385314,0.439620928,0.560379072,0.538382193,0.143562585,909,2305,563,240,600,http://services.itis.gov/?q=tsn:161094,"Lepisosteus osserus,Lepisosteus osseus","Iowa,Maryland,New Jersey",NA,0,0,FALSE,,No,,2207.311176,46796.77119,157692.6322,465570.2976,3662360.409,70740.86286,979125.33,110,112,117,122,126,113,125,117.8571,6.517376,0.926387,5.529895,2296607.747,128,3.343864,4.670216,5.197811,5.667985,5.990838,4.84967,6.563761,6.361087,,,,Losseus,Losseus,449,Lepisost,Lepisost,161094,.,1,200,5,26,77156,1,1.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
Carpiodes carpio,Catostomidae,Carpiodes,carpio,river carpsucker,0.465252825,0.534747175,0.409315488,0.590684512,0.562715844,0.123448443,1247,2673,546,190,601,http://services.itis.gov/?q=tsn:163919,Carpiodes carpio,"North Carolina,Pennsylvania,West Virginia,Wyoming","North Carolina,West Virginia",1,0,TRUE,,No,,2369.218205,47970.01616,153146.9247,417786.5069,3015675.161,67077.46865,848054.79,111,114,116,118,123,111,122,116.4286,4.859943,0.915062,4.174184,2091639.181,126,3.374605,4.68097,5.185108,5.620954,5.928424,4.826577,6.479385,6.320487,,,,Ccarpio,Cacarpio,42,Catostom,Carpiode,163919,.,1,64,3,10,300000,0,1.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9
Lepomis marginatus,Centrarchidae,Lepomis,marginatus,dollar sunfish,0.330449819,0.669550181,0.485679543,0.514320457,0.591935319,0.046669045,1674,1460,197,172,873,http://services.itis.gov/?q=tsn:168152,Lepomis marginatus,"Kentucky,Missouri,North Carolina","Kentucky,Missouri",1,0,TRUE,,Yes,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=3089,3948.160994,72928.81636,199094.1872,439265.8865,1516130.908,105695.0036,654799.1,118,121,121,120,106,121,118,117.8571,5.398412,0.926387,4.580471,794862.6504,102,3.596395,4.862899,5.299059,5.642727,5.816108,5.024054,6.180737,5.900292,,,,Lmargina,Lmargina,440,Centrarc,Lepomis,168152,.,1,12,2,6,600,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,11
Entosphenus tridentatus,Petromyzontidae,Entosphenus,tridentatus,Pacific lamprey,0.645653274,0.354346726,0.163099603,0.836900397,0.595623561,0.044381463,462,82,77,94,271,http://services.itis.gov/?q=tsn:159699,"Entosphenus tridentatus,Entosphenus tridentate,Lampetra tridentata,Lampetra tridentata ssp. 1,Lampetra tridentata ssp. 5,Lampetra tridentata ssp. 6","Alaska,California,Idaho,Oregon,Washington","Alaska,California,Idaho,Oregon,Washington",1,0,FALSE,,No,,1066.006585,21181.70386,67895.52477,178919.7257,798326.9171,27500.78358,303697.17,94,98,102,104,91,90,104,97.57143,5.99603,0.765572,6.145273,577906.8504,98,3.02776,4.325961,4.831841,5.252658,5.482441,4.439345,5.902181,5.761858,,"Former name: Lampetra tridentata, changed name in Mimsetal2010 Database",changed HUC8 from 10 to 77 due to multiple scientific names for species18Jan2018; Lampetra tridentata in NatureServe,Ltrident,Ltrident,459,Petromyz,Lampetra,159713,.,1,76,5,6,238400,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,17
